                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                  1.014,                 1.1666,                 0.9112,                0.99891,                0.56137,                0.54818,                0.55042,                0.39799,                0.50657,                0.47263,                0.47544,                0.20571,                 1.1318,                 1.3262,                 1.1565,                 1.0685,              0.0014654,              0.0014654,              0.0014654
                     84,                0.98993,                 1.1495,                0.90853,                0.99564,                0.61247,                0.56387,                0.59296,                0.43025,                0.57447,                0.52079,                 0.5409,                0.25104,                   1.08,                 1.2604,                 0.9987,                 1.0483,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.0071,                 1.1842,                0.92559,                0.99455,                0.54932,                0.52127,                0.52437,                0.38222,                0.50197,                0.44516,                0.45046,                 0.1978,                 1.1515,                 1.3652,                 1.1572,                 1.0844,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.0002,                  1.203,                0.91918,                0.99667,                0.56747,                0.54115,                0.55178,                0.39374,                0.52773,                0.49078,                0.49587,                0.22392,                 1.1232,                 1.3242,                 1.1033,                 1.0772,              0.0014456,              0.0014456,              0.0014456
                     87,                  1.016,                 1.2285,                0.95699,                0.99762,                0.61807,                0.57499,                0.60817,                0.44766,                  0.569,                 0.5212,                0.54528,                0.24984,                 1.0472,                 1.2513,                0.99968,                 1.0392,               0.001439,               0.001439,               0.001439
                     88,                 1.0061,                 1.2123,                 1.0022,                0.99132,                0.58052,                 0.5574,                0.57631,                0.42436,                0.49898,                0.47596,                0.47737,                0.20244,                 1.0838,                 1.3662,                  1.071,                 1.0575,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.0037,                 1.1843,                0.93524,                 0.9959,                0.59246,                0.56444,                0.58639,                0.43342,                 0.5344,                0.50029,                0.51328,                0.22838,                 1.0563,                 1.2938,                  1.011,                 1.0462,              0.0014258,              0.0014258,              0.0014258
                     90,                0.97066,                 1.1441,                 1.6285,                0.98876,                0.56761,                0.54077,                0.56702,                0.39441,                0.53944,                0.46379,                0.49572,                 0.2143,                   1.19,                 1.3664,                 1.1125,                 1.0848,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.0675,                 1.2241,                0.99952,                  1.011,                0.56168,                0.53221,                0.55547,                0.39595,                0.51251,                0.47624,                0.48216,                0.20963,                 1.1576,                 1.3522,                 1.1241,                 1.0955,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.0228,                 1.1793,                 0.9365,                 1.0137,                0.60232,                0.58284,                0.59868,                0.43272,                0.55227,                0.51932,                0.52482,                0.23296,                 1.0665,                 1.2776,                 1.0271,                  1.064,               0.001406,               0.001406,               0.001406
                     93,                 1.0027,                 1.1981,                0.90302,                0.99143,                0.60349,                0.56605,                0.59952,                0.42713,                0.55269,                0.50029,                 0.5222,                0.22539,                 1.1084,                 1.2776,                  1.019,                 1.0556,              0.0013994,              0.0013994,              0.0013994
                     94,                 1.0117,                 1.1692,                0.89912,                0.99883,                0.57238,                0.55642,                0.56765,                0.41634,                 0.5266,                0.47177,                0.48834,                0.21728,                 1.1003,                  1.307,                 1.0735,                 1.0677,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.0252,                 1.1914,                0.93866,                0.99585,                0.57675,                0.56235,                 0.5833,                 0.4238,                0.54339,                0.49078,                0.51564,                0.23264,                 1.1045,                 1.2979,                  1.105,                 1.0581,              0.0013862,              0.0013862,              0.0013862
                     96,                0.99997,                 1.1626,                0.93442,                0.99897,                0.57897,                0.55892,                 0.5773,                0.42803,                0.53019,                0.48688,                0.50592,                0.22579,                 1.0692,                 1.2618,                 1.0394,                 1.0514,              0.0013796,              0.0013796,              0.0013796
                     97,                0.99797,                 1.1803,                0.89159,                0.98984,                0.60329,                0.55758,                0.58955,                0.42665,                0.54705,                0.48622,                0.51278,                0.22566,                 1.1118,                 1.3567,                 1.0595,                 1.0696,               0.001373,               0.001373,               0.001373
                     98,                 1.0068,                 1.1862,                0.89092,                0.98872,                0.56135,                0.52639,                0.53977,                 0.3963,                0.49407,                 0.4368,                0.44897,                0.19229,                 1.0986,                 1.3627,                 1.1112,                 1.0621,              0.0013664,              0.0013664,              0.0013664
                     99,                 0.9963,                 1.1624,                 1.2308,                0.98757,                0.63671,                0.56586,                  0.618,                 0.4489,                0.59387,                0.51977,                 0.5597,                0.25735,                 1.0684,                  1.229,                 1.0718,                 1.0367,              0.0013598,              0.0013598,              0.0013598
                    100,                0.99513,                 1.1675,                 1.0366,                 1.0018,                0.56141,                 0.5498,                0.54676,                0.40282,                0.52336,                0.48337,                0.48486,                0.22198,                 1.0766,                 1.2761,                 1.1203,                 1.0835,              0.0013532,              0.0013532,              0.0013532
                    101,                0.98361,                 1.1883,                0.92793,                 1.0041,                0.59417,                0.57426,                0.60005,                0.43652,                0.54902,                0.51083,                0.52817,                 0.2363,                 1.0681,                 1.2509,                 1.0198,                 1.0617,              0.0013466,              0.0013466,              0.0013466
